sentID.BTEC	split	BEI	ALEX	AMM	ASW	ALE	CAI	DAM	JER	SAL	MSA	DOH	RAB	TUN	ALG	BAG	BAS	BEN	FES	JED	KHA	MOS	MUS	ARI	SAN	SFX	TRI
18657	corpus-6-train	كان بدي هيدا.					عاوز ده.				أردت ذلك .	كنت ابغي هذي.	كنت باغي هادا.	نحب هذا.													
18659	corpus-6-train	إلي كيف شكل الشنطة.					قولي شنطة السفر عاملة إزاي، لو سمحت.				أخبرني كيف تبدو الأمتعة ، من فضلك ؟	قول لي شلون شكل الشناط، لو سمحت.	قول لي كيفاش هما الأمتعة ديالك، عافاك.	قلي كيفاش دبشك، يعيشك.													
18660	corpus-6-train	بدي رجع هيدا.					عاوز أرجع دي.				أريد أن ارجع هذه .	بغيت ارجع هذي.	بغيت نرجع هادا.	نحب نرجع هذا.													
18661	corpus-6-dev	أديش الكلفة عباريس؟					بكام لباريس؟				كم تكلفة الذهاب إلى باريس ؟	بكم لباريس؟	شحال لباريس؟	قداش ال باريز؟													
18663	corpus-6-dev	ما بيعدي.					ده مش معدي.				انه ليس معد .	ما يعادي.	راه ماكاتعاديش.	ميعديش.													
18664	corpus-6-train	إزا فيك تنطر لحظة وحدة، رح إئدر جاوب عأي سؤال بتسألو.					لو تقدر تستنى دقيقة واحدة بس، حجاوب على أي سؤال عندك.				إذا انتظرت لحظة فقط ، سأجيب على أي تساؤل لديك .	لو بس تنتظر شوي، بجاوب أي سؤال عندك.	إلا قدرتي تساين واحد الشوية، غادي نجاوب على كل أسئلتك.	كان تحب تستنى لحظة، توا نجاوب على اسئلة ل عندك.													
18665	corpus-6-train	ليش ما إجا الباص؟					هو الأتوبيس مش بيجي ليه؟				لماذا لا يأتي الأتوبيس ؟	ليش الباص ما يجي؟	علاش ماجاش الطوبيس؟	علاش الكار مجتش؟													
18666	corpus-6-dev	كم مرة لازم آخد هالدوا؟					كم مرة لازم آخد الدوا ده؟				كم مرة يجب على تناول هذا الدواء ؟	كل شكثر لازم آخذ هالدوا؟	شحال من مرة خاصني نشرب هاد الدوا؟	قداش لازم ناخو دوا هذا؟													
18667	corpus-6-train	إزا بتريد نأئيلي أميص منيحة.					لو سمحت اختارلي بلوزة كويسة.				من فضلك اختر بلوزه جيدة لي .	لو سمحت اختار لي بلوزة حلوة.	عافاك اختار لي شي بلوزة زوينة.	أمان أخطرلي بلوزة باهية.													
18668	corpus-6-train	بدي إتصل عطوكيو، إزا بتريد.					عاوز أكلم طوكيو، لو سمحت.				أريد أن اتصل بطوكيو ، من فضلك .	بغيت اتصل في طوكيو، لو سمحت.	بغيت نتصل بطوكيو، عافاك.	نحب نكلم اليابان، يعيشك.													
18671	corpus-6-train	خود غراضك التمينة معك، إزا بتريد.					خد الحاجات القيمة معاك، لو سمحت.				خذ ممتلكاتك القيمة معك ، من فضلك .	خذ اغراضك الغالية معاك، لو سمحت.	خود حوايجك الغاليين معاك، عافاك.	هز أمانتك معاك، يعيشك.													
18673	corpus-6-train	وين الموأف؟					فين المحطة؟				أين الموقف ؟	وين المحطة؟	فيناهي المحطة؟	وين الوقفة؟													
18674	corpus-6-train	ماعندي وأت. استعجل إزا بتريد.					معنديش وقت عشان أحدد. سرع، لو سمحت.				ليس لدى وقت . أسرع ، من فضلك .	ما عندي وقت اضيعه. بسرعة، لو سمحت.	ماعنديش الوقت. ازرب عافاك.	معنديش وقت باش نضيعو، ازرب، يعيشك.													
18675	corpus-6-train	ما بقدر وافئ عهالسعر.					ما أقدرش أوافق ع السعر ده.				لا يمكن الموافقة على هذا السعر .	ماقدر اوافق على هالسعر.	مانقدرش نقبل بهاد الثمن.	موافقتش على سوم هذا.													
18676	corpus-6-train	سأعة. فيك تعمل شي؟					ده بارد. ممكن تعمل حاجة؟				الجو بارد . هل تستطيع عمل شئ ؟	برد. تقدر تسوي شي؟	كاين البرد. يمكن ليك تدير شي حاجة؟	باردة. تنجم تتصرف؟													
18678	corpus-6-train	بدي شوية فطر.					عاوز شوية ماشروم.				أريد بعضاً من عش الغراب .	بغيت فطر.	بغيت الفقيع.	نحب شوية فوقاع.													
18681	corpus-6-train	عندك دليل مجاني بالياباني؟					عندك نشرة مجانية بالياباني؟				هل لديك كراسة مجانية بالياباني ؟	عندك منشور مجاني بالياباني؟	واش عندك كتيب مجاني باللغة اليابانية؟	عندكم برشور بلوشي فل يابان؟													
18682	corpus-6-train	السلطة التشريعية هيي البرلمان الياباني.					السلطة التشريعية هي النظام.				الفرع التشريعي هو الدايت .	السلطة التشريعية هي مجلس النواب.	السلطة التشريعية هي دييت.	سلطة تشريعية هي ساس.													
18683	corpus-6-train	إسمي تارو ياماموتو.					اسمي تارو ياماموتو.				اسمى هو تارو يماماتو .	اسمي تارو ياماموتو.	اسميتي تارو ياماموتو.	إسمي تارو ياماموتو.													
18685	corpus-6-test-corpus-26-train	ضيعت شيكاتي السياحية.	أنا ضيعت الشيك السياحى بتاعى.	أنا ضيعت شيكاتي السياحية.	أنا ضيعت شيكات السياح بتعاتي.	ضيعت شيكات السفر تبعي.	أنا ضيعت الشيكات السياحية بتاعتي.	ضيعت شيكاتي السياحية.	ضيعت شيكاتي السياحية.	ضيعت شيكات المسافر .	لقد فقدت شيكاتي السياحية .	ضيعت جيكاتي السياحية.	ضيعت شيكات السفر ديالي.	ضيعت شيكات صفر متاعي.	ضيعت كل شيكات السفر ديالي.	ضعيت الشيكات السياحية مالتي.	ضيعت صكوكي السياحية.	ريحت شيكات المسافر بتاعي .	تلفت شيكات المسافر.	ضيعت شيك السياحة.	أنا ضيعت شيكات المسافر حقتي.	انا ضعيتو صكات المسافرين.	ضيعت حجوزات المسافرين.	ضيعت شيك المسافر حقي.	ضيعت شيكي السياحي.	ضيعت شاكات السفر.	"ريحت شيك المسافرين ""ترافلز شيك"" متاعي."
18687	corpus-6-test-corpus-26-train	إزا بتريد عطيني دوا للرشح.	من فضلك إدينى دوا برد.	لو سمحت أعطيني دوا زكام.	ممكن تديني دوا برد.	إذا سمحت عطيني دوا للرشح.	لو سمحت اديني شوية دوا برد.	رجاءً عطيني شي دوا للرشح.	لو سمحت أعطيني دوا رشح.	لو سمحت اعطيني شوية ادوية باردة .	من فضلك أعطني دواء للبرد .	لو سمحت عطني دوا حق الزكام.	عافاك اعطيني شي أدوية دالبرد.	أمان اعطني دوا برد.	أعطيني دواء لنزلة البرد.	رجاءً، انطيني دوه بارد.	رجاءا انطيني دوا نشلة.	لو سمحت عطيني شوية دواء برد.	عافاك عطيني شوية الأدوية الباردة.	لو سمحت اعطيني دواء زكام.	من فضلك اديني بعض دواء النزلة.	رحاءا انطيني شويه ادويه بيغدي.	من فضلك عطني بعض الأدوية الباردة.	لو سمحت عطني دواء للبرد.	لو سمحت جيب لي علاج للبرد.	اعطيني دواء للقريب.	من فضلك اعطيني دوا برده.
18689	corpus-6-dev	بعد إزنك، في شي تئاطع طريء للمشاة أريب من هون؟					لا مؤاخذة. هو فيه أي نفق مشاة قريب من هنا؟				معذرة هل هناك أي معبر للمشاة بالقرب من هنا ؟	لو سمحت. في خطوط للمشاة قريب من هني؟	اسمح لي. واش كاين شي ممر للراجلين قريب من هنا؟	سامحني. فما منين نتعداو من هوني؟													
18690	corpus-6-test-corpus-26-train	إزا بتريد حطو بكورنيه.	من فضلك حطه فى قرطاس.	لو سمحت حطها بقرطوس.	لو سمحت حطه في قمع.	إذا سمحت حطو بقمع.	لو سمحت حطه في قرطاس.	رجاءً حطه ببوري.	لو سمحت حطو في أرطوس.	لو سمحت حطها بمخروط .	من فضلك ضعها في قمع .	لو سمحت خله في بسكوت.	عافاك حط هاد الشي فمخروط.	أمان حطوا فل كون.	ديرلي هاذا في مخروط.	رجاءً، خليها بمخروط.	رجاءا خليها بمخروط.	لو سمحت حطه في طربوش.	عافاك حطها فمخروط.	حطه في كوز.	من فضلك خته في شكل مخروط.	رجاءا خليها بمخروط.	لو سمحت حطها في مخروط.	لو سمحت حطه فيه كوز.	لو سمحت اطرحهن في كون.	حط هذا في مخروط.	لو سمحت حطه في طربوش.
18692	corpus-6-dev	إنت بنص الجادة الجنوبية.					إنت كنت في نص الويست أفينو.				أنت في وسط شارع الغرب .	انت في وسط شارع ويست.	انت فوسط وويست أفينيو.	إنت في نص غربة شارع.													
18695	corpus-6-train	روح دغري إزا بتريد.					مشي طوالي، لو سمحت.				واصل في الاتجاه المستقيم ، من فضلك .	روح سيدة، لو سمحت.	سير نيشان، عافاك.	امشي طول، يعيشك.													
18696	corpus-6-train	بدي شامبو وأصة شعر.					عاوز شامبو وحلاقة.				أريد شامبو و حلاقة .	بغيت غسيل وقص للشعر.	بغيت شامبوان و قصة شعر.	نحب شامبو و مقص شعر.													
18697	corpus-6-train	ممنوع التصوير هون؟					هو التصويرممنوع هنا؟				هل التقاط صور ممنوع هنا ؟	ممنوع التصوير هني؟	واش ممنوع التقاط الصور هنا؟	ممنوع تعمل تصاور هوني؟													
18699	corpus-6-train	وين كابين المعلومات؟					هو فين كشك المعلومات؟				أين كشك الاستعلامات ؟	وين كشك الاستعلامات؟	فين هو كشك الاستعلامات؟	وين كشك لمعلومات؟													
18700	corpus-6-train	بقدر آخد موعد لبكرا الصبح؟					هو ممكن آخد معاد لبكرة بعد الضهر؟				هل أستطيع عمل موعد غداً بعد الظهر ؟	ممكن اسوي موعد حق بكرة بعد الظهر؟	واش يمكن لي ناخد موعد لغدا فالزوال؟	نجم ناخو موعد غدوة لعشية؟													
18701	corpus-6-train	بدي كماشات.					عاوز شوية كماشات.				أريد كماشة .	بغيت بكر.	بغيت شي قراصة.	نحب شوية كمشت.													
18706	corpus-6-train	الموأع كان بهيدا المحل.					الموقع كان في المحل ده.				المكان كان في هذا المتجر .	الموقع كان في ذاك المحل.	كان فهاد المحل.	ل بلاصة فالمعمل هذاك.													
18709	corpus-6-train	بقدر وأف؟					ممكن أقف؟				هل أستطيع التوقف ؟	ممكن اوقف؟	واش يمكن لي نوقف خلال الرحلة؟	نجم ناقف غادي؟													
18711	corpus-6-train	فيك تشيل البئع عن هالتياب؟					ممكن تطلع البقع من الهدوم دي؟				هل لك أن تزيل البقعة من هذه الملابس ؟	ممكن تشيل البقع من هالثياب؟	تقدر تحيد الطبعة اللي فهاد لحوايج؟	تنجم تنحي لوسخة فل حوايج هذي؟													
18712	corpus-6-train	روح دغري عآخر هالشارع، إزا بتريد.					روح طوالي لنهاية الشارع ده، من فضلك.				استمر في الاتجاه المستقيم حتى نهاية هذا الطريق ، من فضلك .	روح سيدة لي نهاية هالشارع، لو سمحت.	سير نيشان حتى لأخر هاد الشارع، عافاك.	امشي طول في اخر طريق هذا، يعيشك.													
18714	corpus-6-train	بدي رواية إنكليزية إرايتا هينة.					عاوز رواية إنجليزي سهل تتقرا.				أريد رواية إنجليزية يسهل قراءتها .	بغيت رواية انجليزية سهلة للقراءة.	بغيت واحد الرواية إنجليزية اللي تكون ساهلة للقراية.	نحب رواية بل انجلاي قرايتها ساهلة.													
18716	corpus-6-train	لأ، أنا بجمع من وأت أصير بس. بس بعمل شوية مبادلة.					لأ، أنا بدأت اجمع من وقت قريب. بس بعمل شوية مبادلة.				لا ، أنا فقط جامع بسيط . أقوم ببعض التجارة ، على الرغم من ذلك .	لا، انا اجمع من وقت صغير. لكن بسوي شوية مبادلة.	لا، أنا غير هاوي مجموعات جديد. بالحق كانتبادل مرة مرة.	لا، أنا نجمع من وقت صغير. أما نعمل شوية مبادلة.													
18718	corpus-6-train	مريض، منشفة رطبة، إزا برتيد.					المريض، فوطة مبلولة، لو سمحت.				مريض ، منشفة مبلولة ، من فضلك .	مريض، فوطة رطبة، لو سمحت.	مريض، فوطة فازكة، عافاك.	مريض، نشف بالقدا، يعيشك.													
18720	corpus-6-train	بتحب تجي تتغدا معنا؟					عاوز تيجي معانا ع الغدا؟				هل ترغب في تناول الغداء معنا ؟	ودك تتغدا معانا؟	واش تبغي تنضم لينا على الغدا؟	تجينا معانا لل فطور؟													
18723	corpus-6-train	جايي من السويد.					أنا جيت من السويد.				إنني من السويد .	انا جاي من السويد.	جيت من السويد.	أنا جيت م سويد.													
18724	corpus-6-train	عندك صكوك نأدية بأكتر من خمس تالاف دولار؟					هو إنت عندك أكتر من خمستلاف دولار في شكل سندات نقدية؟				هل لديك أكثر من خمسة آلاف دولار في أدوات نقدية ؟	عندك ادوات نقدية بقيمة اكثر من خمسة آلاف دولار؟	واش عندك اكتر من خمس ألاف دولار أسهم مالية؟	عندك أكثر من خمسة ألف دولار في متحف المالية؟													
18725	corpus-6-test-corpus-26-train	كل يوم الصبح بشوفو بالترين.	أنا دايما بشوفه كل يوم الصبح فى القطر.	أنا دايما بشوفه كل يوم الصبح بالقطار.	انا على طول بشوفه كل يوم الصبح في القطر.	بشوفو كل يوم الصبح بالقطار.	أنا دايما بشوفه الصبح في قطر.	دائما بشوفه الصبح بالقطار.	دايماً بشوفو كل صبح في القطار.	بشوفو كل يوم الصبح على القطار .	أراه دائما كل صباح في القطار .	انا كل صبح اشوفه في القطار.	كانشوفو كل صباح فالقطار.	ديمة نشوفو في تران كل يوم صباح.	نشوفو كل يوم صبح فالقطار.	اني يوميه اشوفه الصبح بالقطار.	انا دائما اشوف ع القطار الصبح.	ديما نشوف فيه كل صبح على القطار.	كنشوفو كل نهار فالصباح فالطران.	كل يوم اشوفه على الصبحية عند القطار.	انا دايما بشوفه كل صباح في القطر.	انا دائما اشوفو كل صبح بالقطار.	أشوفه كل صباح على متن القطار.	دائم اشوفه كل صباح على القطار.	انا دايما ابسره كل صباح بالقطار.	نشوفها ديما الصباح في الترينو.	اني ديمه نشوف فيه كل صبح في القطار.
18726	corpus-6-train	في شي محل تياب ولادي منيح؟					هو فيه محل هدوم كويس للأطفال؟				هل هناك متجر للأقمشة الجيدة للأطفال ؟	في محل ثياب زين حق يهال؟	واش كاين شي محل زوين كايبيع حوايج الدراري الصغار؟	فما بوتيكا متع دبش باهية لصغار؟													
18727	corpus-6-test-corpus-26-train	فيك تتعشا معنا الليلة؟	تقدر تتعشى معانا النهاردة بالليل؟	بتقدر تتعشا معنى اليوم المسا؟	ممكن تاخد العشا معانا الليلة؟	بتحسن تتعشا معنا المسا؟	ممكن تتعشى معانا الليلة دي؟	فيك تتعشا معنا الليلة؟	بتقدر تتعشى معنا اليوم المسا؟	بتقدر تتعشى معنا اليوم المسا؟	هل تستطيع أن تتناول العشاء معنا هذا المساء ؟	تقدر تتعشى ويانا الليلة؟	واش تقدر تتعشى معانا هاد الليلة؟	تنجم تتعشى معنا ليلة؟	تقدر تتعشى معانا لعشية؟	ممكن تتعشى ويانا هاي الليلة؟	تكدر تتعشى ويانه الليلة؟	تقدر اتعشي معانا الليلة هضي؟	ممكن تعشا معانا هاد الليلة؟	تبا تتعشى معانا دا المساء؟	ممكن تتعشي معانا المساء دا؟	اتطيق تتعشيى معانه هذا المساء؟	هل يمكن أن يكون العشاء معنا هالمساء؟	تقدر تتعشى معنا هذا المساء؟	ممكن تتعشى معانا في الليل؟	تنجم تتعشى معانا في الليل؟	تقدر تتعشي معنا الليله؟
18729	corpus-6-train	بدي صرف هالورأة النأدية عوراء نأدية زغار.					عاوز أغير ورقة فلوس لفئات صغيرة.				أريد تحويل ورقة نقدية إلى عملات صغيرة القيمة .	بغيت تعطيني خردة.	بغيت نبدل الورقة النقدية لصرف صغير.	نحب نبدل لفترة ل شوية فلوس.													
18730	corpus-6-dev	بصلحلك محل ما بتنام؟					هو لازم أنضف مكان سريرك في القطر؟				هلا رتبت لك مضجع نومك .	اجهز مكان نومك؟	واش خاصني نوجد ليك بلاصتك فين تنعس؟	نجم نستعمل فرشك؟													
18732	corpus-6-dev	عملو متل ما هوي، إزا بتريد.					اعمله زي ما هو. لو سمحت.				اجعلها كما هي ، من فضلك .	سوه مثل ما هو، لو سمحت.	ديرو كيف ما هو، عافاك.	حطوا كيف ما هو، يعيشك.													
18733	corpus-6-train	بدي شوف حكيم ولاد.					عاوز أشوف دكتور أطفال.				احتاج لرؤية طبيب أطفال .	احتاج اشوف دكتور اطفال.	محتاج لطبيب أطفال.	نحب نشوف طبيب صغار.													
18734	corpus-6-train	بهاليوم بيرفعو أعلام على شكل أسماك وبيعرضو لعب ساموراي.					شرايط الكارب بتترفع وبيتعرض عرض عرايس السامرائي في اليوم ده.				أعلام على شكل أسماك مرفوعة و دمى ساموراى معروضة حولنا هذا اليوم .	يطيرون بالونات على سمج ويعرضون دمى الساموراي في هاليوم.	كانصايبو شبكات لصيد الكارب و دمى الصاموراي معروضة داك النهار.	يهزو النجارة و يعرضو دميات الساموراي حتى ليوم.													
18737	corpus-6-train	ربحنا كتير خلينا نرجع بتياب رسمية.					إحنا كسبنا كتير عشان كدة خلينا نرجع تاني بلبس رسمي.				لقد كسبنا كثيراً لذلك دعنا نرجع مرة أخرى بلباس رسمي .	ربحنا واجد فخلونا نرجع مرة ثانية بثياب رسمية.	ربحنا بزاف إذن نرجعو للبسة ديال السهرة.	احنا ربحنا برشة لذا خلونا نرجعوا ل زي رسمي.													
18738	corpus-6-train	المحتويات بساوو شي ميتان دولار.					المحتويات تستاهل حوالي ميتين دولار.				المحتويات تستحق نحو مائتي دولار .	المحتويات يسوون تقريباً ميتين دولار.	المجموع واصل تقريبا ميتين دولار .	ال محتويات تستحق ميتين دولار.													
18740	corpus-6-train	من هون، إزا بتريد.					من هنا، لو سمحت.				هناك ، من فضلك .	هني، لو سمحت.	من هنا، عافاك.	هوني، يعيشك.													
18743	corpus-6-dev	إزا بتريد كلم مكتب المفئودات.					لو سمحت كلم قسم المفقودات.				من فضلك اتصل بقسم المفقودات .	لو سمحت كلم قسم المفقودات.	عافاك اتصل بمكتب المفقودات.	يعيشك كلم بيرو الحجات الضايعة.													
18745	corpus-6-train	خمسة وتلاتين دولار وخمسة وتسعين سنت عالنهار وزيادة تسعة سنت لكل ميل من بعد أول مية ميل.					دي بخمسة وتلاتين دولار وخمسة وتسعين سنت في اليوم بالإضافة إلى تسعة سنت للميل بعد أول ميت ميل.				خمسة و ثلاثين دولار و خمسة و تسعين سنتا في اليوم بالإضافة إلى تسعة سنتات للميل بعد أول مائة ميل .	هذي بخمسة وثلاثين دولار وخمسة وتسعين سنت في اليوم زائد تسعين دولار حق الميل عقب أول مية ميل.	راه خمسة و تلاتين دولار و خمسة و تسعين سنت فاليوم زائد تسعود سنت للميل بعد مية ميل الأولى.	خمسة و تلاثين دولار و خمسة و تسعين فرنك في نهار زيدهم ميل بعدأول ميتن ميل.													
18747	corpus-6-test-corpus-26-train	رح إبئا بأوتيل بي لبكرا. بكون ممنون إزا إلتلو أني هون.	انا هقعد في فندق بي لحد بكرة. هكون مبسوط لو قولتله إنى هنا.	راح أضل بفندق بي لعند بكرا. راح أكون مبسوط إذا حكتله إني هون.	انا هفضل في فندق به لغاية بكرة. هبقى مبسوط لو قولتله أني هنا.	رح أضل بفندق بي لبكرة. بكون مبسوط إذا بتخبروا أني هون.	حستني في فندق بي لحد بكرة. حكون سعيد لو بلغته إني هنا.	رح ضل بفندق بي لبكرا. رح كون سعيد إذا قلتله إني هون.	رح أضل في أوتيل بي لبكرا. بكون مبسوط ازا بتقلو اني هون.	رح اضل بفندق بي لبكرا . رح اكون مبسوط اذ قلتلو اني انا هون .	سأقيم في فندق بي حتى غداً . أكون مسروراً إذا أخبرته أنني هنا .	انا بتم في فندق بي لي بكرة. لو سمحت خبره اني هني.	غادي ننزل فأوطيل بي حتى لغدا. غادي نكون فرحان إلا اخبرتيه باللي راني هنا.	باش نبقى في وتيل بي حتى لغدوة. نفرح برشة كان تقولوا ال أنا هوني.	راح ننزل في فندق بي حتي لغدوة. نكون سعيد اذا تقدر تقولوا له بلي ننزل فيه.	راح ابقى بفندق بي لحد باجر. اكون ممنون اذا تبلغه باني هنا.	راح ابقة بفندق بي لباجر. راح اكون سعيد اذا كلتله انا هنا.	حنقعد في هوتيل بي لعند بكرة. حكون فرحان لو قلتله اني هنا.	غنبقى في فندق ب حتى لغدا. غنكون فرحان الى قلتي ليه بلي غانكون هنا.	حقعد في فندق بي لين بكرة. حكون مبسوط لو تقله اني هنا.	ح أقعد في فندق بي لغاية بكرة. ح اكون سعيد لو كلمته اني هنا.	انا غاح ابقه بالفندق بي الى غدا. انا غاح اكون سعيد اذا تقلو انو انا هوني.	سأبقى في فندق بي لباجر. بكون سعيد إذا بتقول له أني اهني.	بقيم في فندق بي الى بكرة. بكون سعيد اذا علمته اني هنا.	شا اجلس في فندق بي لبكره. شا اكون فرح لو تقل له ان انا هانا.	باش نقعد فلوتيل بي لغدوة. نفرح كان تقلو الي انا في هوني.	حنقعد في هوتيل بي لغدوه. حنكون فرحان كانا تقدر تقوله اني قاعد هنايا.
18748	corpus-6-dev	فرام الإجر مش ماشي.					فرامل الرجل مش شغالة.				الفرامل القدم لا يعمل .	البريك ما يشتغل.	الفرانات ما خدامينش.	فران ب ساق ميخدمش.													
18749	corpus-6-train	بدي لمبة للئراية.					عاوز لمبة قراية.				أريد مصباح قراءة .	بغيت ليت قراءة.	بغيت مصباح القراءة.	نحب نقرا على مصباح.													
18750	corpus-6-train	بدي إص شعري إزا بتريد.					عاوز أحل، لو سمحت.				أريد قص الشعر ، من فضلك .	بغيت قصة شعر، لو سمحت.	بغيت قصة شعر، عافاك.	نحب مقص شعر، يعيشك.													
18751	corpus-6-train	بدي فل بكرا الصبح بكير. فيك تعملي الفاتورة هلأ؟					عاوز أمشي بكرة الصبح بدري. ممكن أسدد فاتورتي دلوقتي؟				ارغب في المغادرة مبكراً صباح الغد . هل أستطيع دفع فاتورتي الآن ؟	ابغي امشي من وقت بكرة الصبح. ممكن ادفع الفاتورة الحين؟	بغيت نمشي غدا فالصباح بكري. واش يمكن لي نخلص فاتورتي دابا؟	نحب نخرج بكري غدوة صباح. نجم نخلص توا؟													
18753	corpus-6-train	لازم إطفي الغاز. نطور دئيئة.					لازم أقفل الغاز. استنى دقيقة.				ينبغي على إغلاق الغاز . انتظر دقيقة .	لازم اطفي الغاز. انتظر دقيقة.	خاصني نوقف الغاز. تسنى دقيقة.	لازمني نسكر ال غاز. دقيقية.													
18754	corpus-6-dev	شو خيارات مشروبات الدخول عندك؟					عندك اختيارات فواتح شهية إيه؟				ماذا لديك من مشهيات ؟	شنو عندكم من المشروبات الفاتحة للشهية؟	شنو اخترتي كفاتح شهية؟	شنية ال متفتحات إلي عندك؟													
18759	corpus-6-train	رأم مأعدك مطبوع عبطاءة الاكسبريس.					رقم الكرسي بتاعك مطبوع على التذكرة الاكسبريس.				رقم مقعدك مطبوع على تذكرة القطار السريع .	رقم كرسيك موجود في تذكرة الاكسبريس.	رقم المقعد ديالك مطبوع على التذكرة السريعة.	نومرو بلاصتك مطبوع على التسكرة الاكسبريس.													
18761	corpus-6-train	رح تمشي الطيارة عالوأت؟					هي الرحلة حتطلع في المعاد؟				هل ستغادر الرحلة في الموعد ؟	الرحلة بتطير على الوقت؟	واش غادي تنطالق الرحلة فالموعد المحدد؟	طيارة بش تخرج في وقتها؟													
18762	corpus-6-train	عندك أكل محلي؟					عندك أطباق المحلية؟				هل لديكم أطباق محلية ؟	عندك اطباق محلية؟	عندك شي أطباق محلية؟	عندك أطباق محلية؟													
18763	corpus-6-train	بقدر إطلب منك تاخدني عموأف الباص؟					ممكن أطلب منك تاخدني لمحطة القطر؟				هل لي أن اطلب منك أن تأخذني حتى موقف الأتوبيس ؟	ممكن توديني محطة الباص؟	واخا تديني لمحطت الطوبيسات؟	تنجم تهزني وين تاقف الكار؟													
18765	corpus-6-train	لتلات أشخاص راشدين.					لتلاتة كبار.				لثلاثة كبار .	حق ثلاثة بالغين.	تلاتة أشخاص بالغين.	ل تلاثة كبار.													
18770	corpus-6-test-corpus-26-train	السفرة تأجلت خمسة وأربعين دئيئة.	الرحلة إتأجلت خمسة وأربعين دقيقة.	تأخرت الرحلة لمدة خمسة وأربعين دقيقة.	الرحلة متأخرة خمسة واربعين دقيقة.	الطيارة تأخرت خمسة وأربعين دقيقة.	الرحلة اتأجلت لمدة خمسة وأربعين دقيقة.	تأجلت الرحلة خمسة وأربعين دقيقة.	الطيارة اتأخرت خمسة و أربعين دقيقة.	الرحلة تأجلت لخمسة و اربعين دقيقة .	تأجلت الرحلة الجوية لمدة خمسة وأربعين دقيقة .	الرحلة متأخرة خمسج واربعين دقيقة.	الرحلة غادي تتعطل خمسة و ربعين دقيقة.	طيارة بش توخر ساعة غير ربع.	الرحلة ستتأخر خمسة وأربعون دقيقة.	الرحلة تأخرت لمدة خمسة واربعين دقيقة.	أخرت الرحلة لمدة خمسة واربعين دقيقة.	الطيارة تأخرت لخمسة وأربعين دقيقة.	الرحلة غادي تأخر لمدة خمسة وأربعين دقيقة.	الرحلة اتاجلت خمسة وأربعين دقيقة.	رحلة أخرت لخمسة وأربعين دقيقة.	الرحله تاجلت لخمسي واربعين دقيقه.	تأخرت الرحلة لمدة خمسة وأربعين دقيقة.	الرحلة تأخرت لخمس و أربعين دقيقة.	الرحله اتاجلت خمسه-واربعين دقيقه.	اسمي شينو ياماد.	الطياره حاتتاخر خمسه و اربعين دقيقه.
18771	corpus-6-test-corpus-26-train	إسمي شينو يامادا.	إسمى شينو يامادا.	إسمي شينو يامادا.	إسمي شينو يامادا.	اسمي شينو يامادا.	اسمي شينو يامادا.	اسمي شينو يامادا.	اسمي شينو يامادا.	اسمي شينو يامادا.	اسمى شينو يامادا .	اسمي شينو يامادا.	اسميتي هي شينو يامادا.	إسمي شينو يمادى.	إسمي شينو يامادا.	اسمي شينو يامادا.	اسمي شينو يامادا.	اسمي هو شينو يامادا.	سميتي شينو يامادا.	اسمي شأينو يامادا.	اسمي شينو يامادا.	اسمي هو شينو يامادا.	اسمي شينو يامادا.	اسمي شينو يامادا.	انا اسمي شينو يامادا.	اسمي شينو ياماد.	اسمي شينو يامادا.
18772	corpus-6-train	علبتين إطع نأدية، إزا بتريد.					علبتين تذكار، لو سمحت.				علبتين من النقود الرمزية ، من فضلك .	مجموعتين نقود تذكارية، لو سمحت.	جوج علبات رموز تذكارية، عافاك.	حزمتين متاع جوتنات، يعيشك.													
18773	corpus-6-train	بتمنى تجي مرة تانية.					أتمنى إنك تيجي تاني.				أتمنى أن تأتى مرة أخرى .	ان شاء الله تجي مرة ثانية.	نتمنى تجي مرو أخرى.	نتمنى ترجع مرة أخرى.													
18776	corpus-6-train	لأ. لعيانة نفسي ما فيي حط شي بتمي.					لأ، أنا مش كدة. أنا حاسس بالدوخة ومش قادر أخلي أي حاجة في معدتي.				لا , ليس لدى , أشعر بغثيان و لا أستطيع الاحتفاظ بأي شئ في معدتي .	لا، ما اسوي. احس بلوعة جبد وما يتم شي في بطني.	لا، ماشي أنا. كانحس بالقي و حتا حاجة ماكاتبقى فماعيدتي.	لا. معملتش. نحس في روحي متقلق و منجمش نحط شي في معدتي.													
18777	corpus-6-train	فيك توأفلي شيكاتي الخاصة؟					هو ممكن تحط حد على شيكاتي الشخصية؟				هل تستطيع أن توقف شيكاتي الشخصية ؟	ممكن توقف جيكاتي الشخصية؟	تقدر توقف الشيكات الشخصية ديالي؟	تنجم تيزي من شيكاتي؟													
18778	corpus-6-train	بئولو إنو التوفو أصلو من اليابان من شي ألفين سنة لورا.					بيتقال إن التوفو نشأ في الصين من حوالي ألفين سنة.				يقال أن طعام التوفو قد نشأ في الصين منذ نحو ألفى عام .	يقولون ان التوفو طلع في الصين قبل أكثر من ألفين سنة.	كايقولو أن التوفو بان فالصين هادي تقريبا ألفين سنة.	يقولو إلي توفو جاي من شنوة قريب ألفين سنا التالي.													
